family,chapter,item_id,q_type,s_i,se_i,n_obs
mistranslation,7,uw-174440-mcq,mcq,0.871928,0.925459,9
mistranslation,8,uw-174444-mcq,mcq,0.871928,0.925459,9
mistranslation,2,uw-174347-open,open,0.877083,0.917758,9
mistranslation,2,uw-174355-open,open,0.877083,0.917758,9
mistranslation,3,uw-174366-open,open,0.877083,0.917758,9
mistranslation,8,uw-174449-open,open,0.877083,0.917758,9
mistranslation,7,uw-174441-open,open,0.877083,0.917758,9
mistranslation,1,uw-174341-open,open,0.929252,1.370505,9
mistranslation,4,uw-174393-open,open,0.948354,1.383842,9
mistranslation,1,uw-174336-open,open,0.979829,0.795866,9
mistranslation,7,uw-174432-open,open,0.979829,0.795866,9
mistranslation,1,uw-174339-open,open,1.031579,0.820504,9
mistranslation,3,uw-174370-open,open,1.031579,0.820504,9
mistranslation,4,uw-174399-open,open,1.031579,0.820504,9
mistranslation,2,uw-174361-open,open,1.043311,1.053514,9
mistranslation,5,uw-174412-open,open,1.215505,0.949476,9
mistranslation,3,uw-174368-open,open,1.246852,0.951882,9
mistranslation,7,uw-174432-mcq,mcq,1.371650,0.892646,9
mistranslation,4,uw-174395-mcq,mcq,1.389821,0.904156,9
mistranslation,1,uw-174344-open,open,1.398528,0.892912,9
mistranslation,1,uw-174340-open,open,1.418019,0.907992,9
mistranslation,1,uw-174317-open,open,1.424604,0.904492,9
mistranslation,2,uw-174357-open,open,1.424604,0.904492,9
mistranslation,4,uw-174377-open,open,1.510837,1.385010,9
mistranslation,4,uw-174398-open,open,1.510837,1.385010,9
mistranslation,1,uw-174332-mcq,mcq,1.629002,1.482869,9
mistranslation,3,uw-174365-mcq,mcq,1.629002,1.482869,9
mistranslation,3,uw-174375-mcq,mcq,1.629002,1.482869,9
mistranslation,7,uw-174431-mcq,mcq,1.629002,1.482869,9
mistranslation,1,uw-174317-mcq,mcq,1.629002,1.482869,9
mistranslation,2,uw-174359-mcq,mcq,1.629002,1.482869,9
mistranslation,6,uw-174414-mcq,mcq,1.629002,1.482869,9
mistranslation,7,uw-174434-mcq,mcq,1.629002,1.482869,9
mistranslation,7,uw-174441-mcq,mcq,1.629002,1.482869,9
mistranslation,1,uw-174341-mcq,mcq,1.641581,1.050971,9
mistranslation,5,uw-174401-open,open,1.905647,1.196484,9
mistranslation,7,uw-174442-open,open,1.997745,1.420546,9
mistranslation,1,uw-174326-open,open,1.997745,1.420546,9
mistranslation,4,uw-174394-open,open,1.997745,1.420546,9
mistranslation,1,uw-174335-open,open,2.005528,1.132277,9
mistranslation,4,uw-174387-open,open,2.005528,1.132277,9
mistranslation,7,uw-174436-open,open,2.051080,1.153280,9
mistranslation,3,uw-174370-mcq,mcq,2.279518,1.396749,9
mistranslation,1,uw-174335-mcq,mcq,2.605840,1.560962,9
mistranslation,4,uw-174389-mcq,mcq,2.605840,1.560962,9
mistranslation,5,uw-174403-mcq,mcq,2.605840,1.560962,9
mistranslation,2,uw-174347-mcq,mcq,2.605840,1.560962,9
mistranslation,1,uw-174318-mcq,mcq,2.605840,1.560962,9
mistranslation,2,uw-174362-open,open,3.103952,1.620953,9
mistranslation,7,uw-174429-mcq,mcq,3.512599,2.241242,9
mistranslation,7,uw-174430-open,open,3.532216,2.233146,9
mistranslation,3,uw-174374-mcq,mcq,4.161585,2.263782,9
mistranslation,4,uw-174379-mcq,mcq,4.161585,2.263782,9
mistranslation,1,uw-174318-open,open,4.365678,2.259706,9
mistranslation,3,uw-174375-open,open,4.365678,2.259706,9
mistranslation,5,uw-174403-open,open,4.365678,2.259706,9
mistranslation,2,uw-174359-open,open,4.382601,2.266282,9
mistranslation,1,uw-174340-mcq,mcq,4.462001,2.279824,9
mistranslation,1,uw-174344-mcq,mcq,4.462001,2.279824,9
mistranslation,4,uw-174378-mcq,mcq,4.462001,2.279824,9
